book_link,book_five_star,book_four_star,book_three_star,book_two_star,book_one_star,book_ranks,book_serie,book_gelezens,book_aanhetlezens,book_wiliklezens,book_favoriets,book_recensiess,book_genre,book_aantal_pagina,book_uitgeverij,book_eerste_editie,book_laaste_editi,book_isbn
https://www.hebban.nl/boek/menzo-mike-van-damme,0,2,4,0,0,4037,[],6,0,11,0,0,"['Lifestyle & Vrije tijd', 'Sportbiografieen']",192,Nieuw Amsterdam,23 maart 2021,01 april 2021,"['9789046826928', '9789046826935']"
https://www.hebban.nl/boek/escape-room-maren-stoffels,65,155,120,21,1,4481,[],409,7,229,32,17,"['Young Adult', 'Fictie 15+']",240,Leopold,04 oktober 2017,04 oktober 2017,"['9789025873974', '9789025874346']"
https://www.hebban.nl/boek/ik-ga-weg-dolf-verroen,2,12,5,1,0,-1,[],21,0,9,2,4,"['Kind & Jeugd', 'Fictie 10-12 jaar']",96,Leopold,11 november 2020,11 november 2020,9789025880620
https://www.hebban.nl/boek/nog-even-een-kusje-erop-jorg-muhle,0,0,0,0,0,-1,[],1,0,3,0,0,"['Kind & Jeugd', 'Peuterboeken']",22,Gottmer,18 juli 2017,20 juli 2017,9789025767440
https://www.hebban.nl/boek/stemmen-aan-het-front-aimie-k-runyan,2,2,3,2,1,6696,[],10,1,59,2,3,"['Feelgood', 'Vertaalde literaire roman, novelle']",384,De Fontein Romans & Spanning,15 april 2021,15 april 2021,"['9789026150982', '9789026150999']"
https://www.hebban.nl/boek/de-mooiste-vlinder-vogelwandelingen-van-nederland-rene-alblas,0,0,0,0,0,-1,[],0,0,0,0,0,"['Reizen & Talen', 'Wandelgidsen']",159,Fontaine uitgevers,01 juli 2020,01 juli 2020,9789059563520
https://www.hebban.nl/boek/de-terugkeer-jeroen-thijssen,4,5,14,0,1,-1,[],27,0,3,1,1,Literatuur & Romans,95,Nieuw Amsterdam,10 september 2020,09 september 2020,9789046827994
https://www.hebban.nl/boek/de-taal-van-vlinders-wendy-williams,1,0,2,0,0,1090,[],3,0,10,0,2,Non-fictie,256,HarperCollins Holland,[],08 maart 2021,9789402707038
https://www.hebban.nl/boek/a-year-in-holland-with-jip-and-janneke-annie-mg-schmidt,0,0,0,0,0,-1,[],0,0,0,0,0,"['Kind & Jeugd', 'Fictie 4-6 jaar']",64,Em. Querido's Uitgeverij Kinderboek,19 april 2017,19 april 2017,9789045120584
https://www.hebban.nl/boek/de-grootste-mysteries-aller-tijden-bill-price,0,1,1,0,1,-1,[],4,0,1,0,0,"['Geschiedenis & Politiek', 'Geschiedenis algemeen']",[],Librero Nederland b.v.,21 juni 2014,20 september 2019,9789089983831
https://www.hebban.nl/boek/piraten-in-de-pot-gert-verhulst,1,0,0,0,0,-1,[],1,0,0,0,0,"['Kind & Jeugd', 'Fictie kinder- en jeugdboeken algemeen']",[],Studio 100 NV,02 februari 2005,02 februari 2005,9789059161542
https://www.hebban.nl/boek/de-walvis-gert-verhulst,0,0,0,0,0,-1,[],0,0,1,0,0,"['Kind & Jeugd', 'Fictie kinder- en jeugdboeken algemeen']",[],Studio 100 NV,28 maart 2003,28 maart 2003,9789059160606
https://www.hebban.nl/boek/vulkaaneiland-hans-bourlon,0,0,0,0,0,-1,[],0,0,1,0,0,"['Kind & Jeugd', 'Fictie kinder- en jeugdboeken algemeen']",[],Studio 100 NV,03 juni 2003,01 november 2010,"['9789059165076', '9789059160668']"
