position,author_name,link,volgers,favorieten,gelezen,aanhetlezen,wiliklezen,favoriet,recensies,artikelen,newsroom,spots,topics
1251,Christelle Dabos,https://www.hebban.nl/auteur/christelle-dabos,12,34,277,18,811,34,88,2,,2,
1252,Kim Harrison,https://www.hebban.nl/auteur/kim-harrison,25,21,288,7,131,21,2,1,,1,
1253,Ethan Cross,https://www.hebban.nl/auteur/ethan-cross,22,23,259,12,171,23,25,3,,2,
1254,Bernadette Lugies,https://www.hebban.nl/auteur/bernadette-lugies,43,2,11,2,19,2,5,,,1,
1255,Eoin Colfer,https://www.hebban.nl/auteur/eoin-colfer,19,26,529,9,253,26,16,1,,4,
1256,Michael Chabon,https://www.hebban.nl/auteur/michael-chabon,12,33,263,9,143,33,21,1,1,2,
1257,Margot Vanderstraeten,https://www.hebban.nl/auteur/margot-vanderstraeten,5,40,616,21,241,40,45,,1,5,
1258,Tom Egeland,https://www.hebban.nl/auteur/tom-egeland,30,15,246,6,144,15,25,1,,1,
1259,Sebastien de Castell,https://www.hebban.nl/auteur/sebastien-de-castell,13,32,287,10,307,32,43,2,,17,
1260,James Joyce,https://www.hebban.nl/auteur/james-joyce,11,34,224,23,215,34,14,,,13,
1261,William Shakespeare,https://www.hebban.nl/auteur/william-shakespeare,16,29,376,8,182,23,4,4,,25,
1262,Femke Roobol,https://www.hebban.nl/auteur/femke-roobol,24,21,660,11,340,21,36,,,9,
1263,Stefan Thunberg,https://www.hebban.nl/auteur/stefan-thunberg,16,29,345,13,248,29,27,1,,,
1264,M.R. Carey,https://www.hebban.nl/auteur/mr-carey,11,34,352,14,222,34,42,1,,5,
1265,Pjotr Vreeswijk,https://www.hebban.nl/auteur/pjotr-vreeswijk,40,5,206,2,106,5,109,2,,4,
1266,Brad Winning,https://www.hebban.nl/auteur/brad-winning,43,2,44,0,36,2,12,1,,3,
1267,Anna Korterink,https://www.hebban.nl/auteur/anna-korterink-2,44,,21,3,18,1,1,,,1,
1268,Natasha Madison,https://www.hebban.nl/auteur/natasha-madison,9,36,898,13,513,36,40,,,,
1269,David Benioff,https://www.hebban.nl/auteur/david-benioff,11,33,221,6,262,33,41,1,,1,
1270,Eveline Karman,https://www.hebban.nl/auteur/eveline-karman,38,6,170,3,60,6,28,3,,,
1271,Marianne Leerkes,https://www.hebban.nl/auteur/marianne-leerkes,41,3,26,2,24,3,10,,,,
1272,T.C. Boyle,https://www.hebban.nl/auteur/tc-boyle,20,24,313,5,209,24,19,9,,1,
1273,R.L. Stine,https://www.hebban.nl/auteur/rl-stine,11,33,945,12,274,33,21,,,4,
1274,Angela Marsons,https://www.hebban.nl/auteur/angela-marsons-2,15,29,778,28,1157,29,83,2,,3,
1275,Louisa May Alcott,https://www.hebban.nl/auteur/louisa-may-alcott,5,39,323,37,205,39,9,,,4,
1276,Jenny Downham,https://www.hebban.nl/auteur/jenny-downham,15,29,583,7,218,29,40,,,,
1277,Christel van Essen,https://www.hebban.nl/auteur/christel-van-essen,43,,1,0,5,1,1,,,3,
1278,Michael Katz Krefeld,https://www.hebban.nl/auteur/michael-katz-krefeld,34,10,198,4,204,10,23,1,,3,
1279,Alexander Roessen,https://www.hebban.nl/auteur/alexander-roessen,41,3,26,2,24,3,10,,,,
1280,Susie Bosveld,https://www.hebban.nl/auteur/susie-bosveld,44,,2,1,12,0,0,,,,
1281,Nick Hornby,https://www.hebban.nl/auteur/nick-hornby,12,32,458,12,178,32,28,,,1,
1282,Kevin Brooks,https://www.hebban.nl/auteur/kevin-brooks,14,30,223,3,126,30,32,,,,
1283,Lucy Clarke,https://www.hebban.nl/auteur/lucy-clarke,17,27,331,6,183,27,45,,,1,
1284,Leon Uris,https://www.hebban.nl/auteur/leon-uris,10,34,402,7,72,34,6,,,1,
1285,Stephanie Perkins,https://www.hebban.nl/auteur/stephanie-perkins,15,29,392,8,198,29,18,2,,16,
1286,Koen Strobbe,https://www.hebban.nl/auteur/koen-strobbe,20,24,401,11,287,24,66,1,1,5,
1287,Linda Green,https://www.hebban.nl/auteur/linda-green,15,29,1013,24,744,29,39,,,,
1288,Lucy Foley,https://www.hebban.nl/auteur/lucy-foley,10,34,901,45,1328,34,48,3,,,
1289,Elsbeth Witt,https://www.hebban.nl/auteur/elsbeth-witt,37,7,418,4,168,7,38,5,,8,
