position,author_name,link,volgers,favorieten,gelezen,aanhetlezen,wiliklezen,favoriet,recensies,artikelen,newsroom,spots,topics
1,J.K. Rowling,https://www.hebban.nl/auteur/jk-rowling,6456,5907,52196,737,5731,5872,347,49,32,122,2
2,Karin Slaughter,https://www.hebban.nl/auteur/karin-slaughter,6987,2027,41071,748,14856,2027,861,26,6,27,2
3,Stephen King,https://www.hebban.nl/auteur/stephen-king,4311,2243,32951,840,13561,2242,848,43,18,98,
4,Simone van der Vlugt,https://www.hebban.nl/auteur/simone-van-der-vlugt,5477,958,23902,317,7410,957,800,34,4,29,
5,Tess Gerritsen,https://www.hebban.nl/auteur/tess-gerritsen,5017,1118,25750,357,8514,1117,719,29,,19,
6,Dan Brown,https://www.hebban.nl/auteur/dan-brown,4340,1688,26408,462,4131,1687,591,22,8,13,
7,Nicci French,https://www.hebban.nl/auteur/nicci-french,4335,1378,38122,582,9373,1378,772,13,4,25,
8,Esther Verhoef,https://www.hebban.nl/auteur/esther-verhoef,4128,970,17213,254,6006,970,610,41,8,4,2
9,Lars Kepler,https://www.hebban.nl/auteur/lars-kepler,4024,1061,15365,367,6322,1061,428,21,1,13,
10,Saskia Noort,https://www.hebban.nl/auteur/saskia-noort,4505,413,15751,223,3228,413,438,37,14,10,
11,Harlan Coben,https://www.hebban.nl/auteur/harlan-coben,4264,634,17734,377,8175,633,469,11,3,5,
12,Lucinda Riley,https://www.hebban.nl/auteur/lucinda-riley,1063,3465,43761,1832,18362,3465,668,10,7,84,2
13,Camilla Läckberg,https://www.hebban.nl/auteur/camilla-lackberg,3452,830,18676,329,6078,830,438,6,2,9,
14,Jo Nesbø,https://www.hebban.nl/auteur/jo-nesbo,3541,723,12237,303,5933,723,290,14,2,12,
15,Jussi Adler-Olsen,https://www.hebban.nl/auteur/jussi-adler-olsen,3323,888,16629,322,5417,888,398,10,,9,
16,Griet Op de Beeck,https://www.hebban.nl/auteur/griet-op-de-beeck,2985,994,9955,305,3128,996,201,25,13,32,
17,M.J. Arlidge,https://www.hebban.nl/auteur/mj-arlidge,1377,1941,38016,847,16682,1941,697,13,1,17,1
18,Loes den Hollander,https://www.hebban.nl/auteur/loes-den-hollander,2801,405,13143,236,6095,405,627,27,5,7,
19,David Baldacci,https://www.hebban.nl/auteur/david-baldacci,2667,484,14376,342,6163,481,424,16,1,13,
20,Jojo Moyes,https://www.hebban.nl/auteur/jojo-moyes,2128,897,10654,245,5556,897,312,26,1,72,
21,John Green,https://www.hebban.nl/auteur/john-green,2032,729,6618,185,2237,729,306,13,7,55,
22,Carlos Ruiz Zafón,https://www.hebban.nl/auteur/carlos-ruiz-zafon-3,1252,1466,12553,259,4947,1465,244,9,2,17,1
23,Sarah J. Maas,https://www.hebban.nl/auteur/sarah-j-maas,780,1900,10576,450,6496,1901,294,8,2,118,3
24,Khaled Hosseini,https://www.hebban.nl/auteur/khaled-hosseini,1398,1235,15090,137,2448,1235,123,1,,4,
25,Kiera Cass,https://www.hebban.nl/auteur/kiera-cass,1541,1070,8532,147,2701,1070,277,5,,36,
26,James Patterson,https://www.hebban.nl/auteur/james-patterson,2029,447,11702,174,6215,447,418,27,8,12,
27,Cassandra Clare,https://www.hebban.nl/auteur/cassandra-clare,1071,1280,10314,316,5809,1279,203,4,,65,
28,Cilla & Rolf Börjlind,https://www.hebban.nl/auteur/cilla-rolf-borjlind,1898,450,8071,199,3772,451,284,9,,10,
29,Stieg Larsson,https://www.hebban.nl/auteur/stieg-larsson,692,1591,17684,138,1766,1591,204,8,1,8,
30,Haruki Murakami,https://www.hebban.nl/auteur/haruki-murakami,1205,1018,9092,293,3346,1018,293,8,3,22,1
31,Suzanne Collins,https://www.hebban.nl/auteur/suzanne-collins,692,1430,11531,161,1932,1230,205,4,4,29,2
32,Henning Mankell,https://www.hebban.nl/auteur/henning-mankell,1481,515,12130,106,2785,514,408,15,,16,
33,Arthur Japin,https://www.hebban.nl/auteur/arthur-japin,1204,780,9216,218,2873,780,194,15,4,15,
34,J.R.R. Tolkien,https://www.hebban.nl/auteur/jrr-tolkien,634,1330,9841,194,2157,1313,69,17,6,56,
35,Karen Rose,https://www.hebban.nl/auteur/karen-rose,1331,631,8195,233,5131,631,288,4,,12,
36,Lisa Gardner,https://www.hebban.nl/auteur/lisa-gardner,1688,271,6328,151,4676,271,242,7,,6,1
37,Hjorth Rosenfeldt,https://www.hebban.nl/auteur/hjorth-rosenfeldt,1596,334,6200,122,2045,334,159,3,,6,
38,Suzanne Vermeer,https://www.hebban.nl/auteur/suzanne-vermeer,1412,511,20831,375,8229,510,486,12,,17,
39,Herman Koch,https://www.hebban.nl/auteur/herman-koch,1526,319,11372,202,1983,319,217,23,13,16,
40,Tommy Wieringa,https://www.hebban.nl/auteur/tommy-wieringa,1325,464,8644,214,2233,464,225,16,18,16,
41,Veronica Roth,https://www.hebban.nl/auteur/veronica-roth,929,680,6284,146,2254,587,154,6,2,25,
42,Marion Pauw,https://www.hebban.nl/auteur/marion-pauw,1418,185,5872,77,2228,185,344,27,3,4,
43,Terry Hayes,https://www.hebban.nl/auteur/terry-hayes,339,1239,4989,249,2537,1238,179,15,1,11,2
44,Robert Bijman,https://www.hebban.nl/auteur/robert-bijman,1555,17,74,3,92,15,35,2,,,
45,Michael Robotham,https://www.hebban.nl/auteur/michael-robotham,1286,248,4831,112,3282,248,267,11,,7,
46,Paula Hawkins,https://www.hebban.nl/auteur/paula-hawkins,957,552,8982,277,2529,552,298,13,4,7,1
47,Thomas Olde Heuvelt,https://www.hebban.nl/auteur/thomas-olde-heuvelt,1156,333,5203,239,3715,333,311,34,3,36,
48,Samuel Bjørk,https://www.hebban.nl/auteur/samuel-bjork,836,550,9814,252,3478,550,286,9,,10,
49,Tatiana de Rosnay,https://www.hebban.nl/auteur/tatiana-de-rosnay,531,850,11189,131,2657,850,289,7,,7,
50,Linda Jansma,https://www.hebban.nl/auteur/linda-jansma,965,400,8219,198,4578,400,566,11,1,5,
51,Santa Montefiore,https://www.hebban.nl/auteur/santa-montefiore,620,679,12390,313,5890,679,246,9,1,35,
52,Stephenie Meyer,https://www.hebban.nl/auteur/stephenie-meyer,497,778,9786,193,1990,669,179,5,,21,
53,Judith Visser,https://www.hebban.nl/auteur/judith-visser,855,420,5342,158,4037,421,493,32,,12,
54,Isabel Allende,https://www.hebban.nl/auteur/isabel-allende,703,567,8852,205,2685,567,140,7,4,8,1
55,Owan Drake,https://www.hebban.nl/auteur/owan-drake,1015,239,741,80,3915,239,179,,,3,
56,Isa Maron,https://www.hebban.nl/auteur/isa-maron,794,416,5879,152,2616,416,475,39,3,13,
57,Nora Roberts,https://www.hebban.nl/auteur/nora-roberts,669,534,12889,292,8723,515,289,4,,22,
58,B.A. Paris,https://www.hebban.nl/auteur/ba-paris,740,446,9262,190,4756,446,396,1,,9,
59,Corine Hartman,https://www.hebban.nl/auteur/corine-hartman,886,298,6714,134,4707,298,729,40,4,17,
60,Hendrik Groen,https://www.hebban.nl/auteur/hendrik-groen,777,385,6992,202,2581,385,198,13,17,16,
61,Soraya Vink,https://www.hebban.nl/auteur/soraya-vink,1149,7,324,10,444,7,48,5,2,12,
62,Håkan Nesser,https://www.hebban.nl/auteur/hakan-nesser,879,267,4481,112,1823,267,256,10,1,8,
63,Sander Verheijen,https://www.hebban.nl/auteur/sander-verheijen,1080,43,481,15,624,43,46,7,6,9,
64,Ken Follett,https://www.hebban.nl/auteur/ken-follett,434,680,5245,235,2620,680,142,2,1,13,
65,Mo Hayder,https://www.hebban.nl/auteur/mo-hayder-2,656,429,5940,71,2056,429,244,7,1,4,2
66,Harry Mulisch,https://www.hebban.nl/auteur/harry-mulisch,273,797,9487,108,1543,797,97,9,2,28,
67,John Boyne,https://www.hebban.nl/auteur/john-boyne,496,551,8172,102,3477,551,288,7,2,24,
68,Donna Tartt,https://www.hebban.nl/auteur/donna-tartt,351,691,5953,105,1138,691,115,2,1,6,1
69,Sebastian Fitzek,https://www.hebban.nl/auteur/sebastian-fitzek,661,361,6348,134,4649,361,486,13,1,5,
70,John Flanagan,https://www.hebban.nl/auteur/john-flanagan,203,812,8299,192,1802,783,107,,,14,
71,Diana Gabaldon,https://www.hebban.nl/auteur/diana-gabaldon,325,687,5358,270,3055,667,119,3,,20,
72,George R.R. Martin,https://www.hebban.nl/auteur/george-rr-martin,519,492,4728,257,2457,477,72,42,11,61,
73,Lee Child,https://www.hebban.nl/auteur/lee-child,677,314,9221,196,3767,314,231,14,7,5,1
74,Jill Mansell,https://www.hebban.nl/auteur/jill-mansell,594,394,14795,233,4716,390,227,9,,47,
75,Robert Bryndza,https://www.hebban.nl/auteur/robert-bryndza,428,558,13837,340,9292,558,346,3,3,6,
76,Nicci Gerrard,https://www.hebban.nl/auteur/nicci-gerrard,914,67,1639,39,693,64,61,2,1,3,
77,Mel Wallis de Vries,https://www.hebban.nl/auteur/mel-wallis-de-vries,437,518,4529,100,1523,503,206,33,9,7,1
78,Elena Ferrante,https://www.hebban.nl/auteur/elena-ferrante,600,354,4940,233,2306,354,106,12,9,10,1
79,Debbie van der Zande,https://www.hebban.nl/auteur/debbie-van-der-zande,943,2,39,5,74,2,8,5,,,
80,Hanya Yanagihara,https://www.hebban.nl/auteur/hanya-yanagihara,156,785,3201,261,1949,785,94,8,1,15,
81,John Grisham,https://www.hebban.nl/auteur/john-grisham,603,337,11109,213,3894,335,341,12,1,7,1
82,Sophie Kinsella,https://www.hebban.nl/auteur/sophie-kinsella,483,454,11517,157,3145,454,271,8,,47,
83,Kristin Hannah,https://www.hebban.nl/auteur/kristin-hannah,417,502,5415,153,3855,503,202,,,33,
84,Chantal van Gastel,https://www.hebban.nl/auteur/chantal-van-gastel,544,369,5645,109,2075,369,186,16,2,33,
85,Jan Terlouw,https://www.hebban.nl/auteur/jan-terlouw,597,292,6402,62,862,290,103,11,8,15,
86,Marissa Meyer,https://www.hebban.nl/auteur/marissa-meyer,348,515,4634,161,3272,514,202,5,,72,1
87,Robin Hobb,https://www.hebban.nl/auteur/robin-hobb,330,524,4847,88,1694,523,67,9,,21,
88,Nienke Pool,https://www.hebban.nl/auteur/nienke-pool,831,17,188,5,140,17,80,1,,8,
89,Thea Beckman,https://www.hebban.nl/auteur/thea-beckman,185,656,9251,67,931,655,66,1,,28,
90,Arnaldur Indridason,https://www.hebban.nl/auteur/arnaldur-indridason,637,197,7139,163,3255,197,356,11,,12,
91,Murat Isik,https://www.hebban.nl/auteur/murat-isik,328,475,4866,242,2628,475,177,9,13,11,
92,Deon Meyer,https://www.hebban.nl/auteur/deon-meyer,547,248,4044,74,2113,248,261,17,6,25,
93,Roald Dahl,https://www.hebban.nl/auteur/roald-dahl,260,532,10453,90,856,531,101,12,3,26,
94,Julie Kagawa,https://www.hebban.nl/auteur/julie-kagawa,346,432,4614,153,3353,396,220,5,,36,
95,Markus Zusak,https://www.hebban.nl/auteur/markus-zusak,180,597,3634,100,2057,597,121,2,,21,
96,Jet Steinz,https://www.hebban.nl/auteur/jet-steinz,742,31,162,20,201,31,9,7,,,
97,Marelle Boersma,https://www.hebban.nl/auteur/marelle-boersma,609,161,5872,137,3425,161,478,18,3,13,
98,A.F.Th. van der  Heijden,https://www.hebban.nl/auteur/afth-van-der-heijden,291,475,5343,132,1528,475,93,19,12,19,
99,Ilja Leonard Pfeijffer,https://www.hebban.nl/auteur/ilja-leonard-pfeijffer,224,534,4494,445,3217,534,251,24,5,12,
100,Lize Spit,https://www.hebban.nl/auteur/lize-spit,352,378,3500,203,2612,380,130,18,17,18,
101,Preston & Child,https://www.hebban.nl/auteur/preston-child-2,416,301,4480,96,1616,301,191,3,,5,
102,Tahereh Mafi,https://www.hebban.nl/auteur/tahereh-mafi,238,470,4343,91,2726,465,170,3,1,40,
103,Robert Galbraith,https://www.hebban.nl/auteur/robert-galbraith,397,305,4681,207,2489,305,142,14,1,10,
104,Sterre Carron,https://www.hebban.nl/auteur/sterre-carron,351,350,5218,90,2829,350,297,2,,8,
105,Nele Neuhaus,https://www.hebban.nl/auteur/nele-neuhaus,523,164,3019,41,1528,164,239,9,,5,
106,Nino Haratischwili,https://www.hebban.nl/auteur/nino-haratischwili,120,564,2387,240,2098,564,153,7,,48,
107,Michael Berg,https://www.hebban.nl/auteur/michael-berg,529,145,4324,91,2436,145,300,40,4,9,
108,Paolo Cognetti,https://www.hebban.nl/auteur/paolo-cognetti,318,329,4806,199,2566,329,132,4,4,13,
109,Rick Riordan,https://www.hebban.nl/auteur/rick-riordan,143,503,4447,128,2377,491,66,,,30,
110,Anja Feliers,https://www.hebban.nl/auteur/anja-feliers,355,283,4488,79,2444,283,285,7,,4,
111,Carry Slee,https://www.hebban.nl/auteur/carry-slee,275,359,6120,92,1578,359,164,17,7,22,
112,Jean M. Auel,https://www.hebban.nl/auteur/jean-m-auel,130,497,7470,82,829,496,49,,,8,
113,Linwood Barclay,https://www.hebban.nl/auteur/linwood-barclay,495,123,2786,59,1902,123,198,2,1,,
114,John Irving,https://www.hebban.nl/auteur/john-irving,158,456,4908,66,816,456,34,1,2,8,1
115,Linda van Rijn,https://www.hebban.nl/auteur/linda-van-rijn,368,231,11652,173,4201,231,264,2,1,5,
116,John Williams,https://www.hebban.nl/auteur/john-williams,83,510,4388,102,1189,510,87,2,1,10,
117,Viveca Sten,https://www.hebban.nl/auteur/viveca-sten,529,64,1129,22,501,64,83,4,,2,
118,Xander Jongejan,https://www.hebban.nl/auteur/xander-jongejan,584,8,83,4,77,8,62,1,,2,
119,Jennifer Armentrout,https://www.hebban.nl/auteur/jennifer-armentrout,137,455,5938,129,3815,455,232,3,,54,1
120,Daniel Cole,https://www.hebban.nl/auteur/daniel-cole-2,347,242,6308,184,2934,242,205,2,,6,
121,E.L. James,https://www.hebban.nl/auteur/el-james,155,421,8873,147,1076,421,104,12,6,8,
122,Joël Dicker,https://www.hebban.nl/auteur/joel-dicker,163,406,3579,134,2229,407,116,5,1,8,
123,Patricia Cornwell,https://www.hebban.nl/auteur/patricia-cornwell,354,198,5637,65,1957,198,172,5,,2,
124,Willem Frederik Hermans,https://www.hebban.nl/auteur/wf-hermans-2,87,463,5554,88,917,463,64,9,,25,
125,Michael Connelly,https://www.hebban.nl/auteur/michael-connelly,329,216,5142,71,2530,216,232,9,3,6,
126,Stefan Brijs,https://www.hebban.nl/auteur/stefan-brijs,132,408,3827,70,1317,408,158,4,1,23,
127,J.D. Barker,https://www.hebban.nl/auteur/jd-barker,152,382,5180,191,4840,382,155,1,,2,
128,Kim Moelands,https://www.hebban.nl/auteur/kim-moelands,451,77,1030,11,598,76,124,8,,3,
129,Gabriel García Márquez,https://www.hebban.nl/auteur/g-garcia-marquez,104,422,3276,75,948,422,35,3,1,3,
130,Paulo Coelho,https://www.hebban.nl/auteur/paulo-coelho,189,334,4454,81,1150,334,105,1,1,8,1
131,Elizabeth George,https://www.hebban.nl/auteur/elizabeth-george,357,163,5257,85,1964,163,182,4,,3,
132,Agatha Christie,https://www.hebban.nl/auteur/agatha-christie,232,287,9482,128,2361,287,183,26,,48,
133,Arnon Grunberg,https://www.hebban.nl/auteur/arnon-grunberg,236,282,5159,148,1458,282,121,19,10,15,
134,Chinouk Thijssen,https://www.hebban.nl/auteur/chinouk-thijssen,433,80,1270,38,1542,81,225,8,2,18,
135,Terry Goodkind,https://www.hebban.nl/auteur/terry-goodkind,173,332,3670,77,1549,332,58,,1,22,
136,Jackie van Laren,https://www.hebban.nl/auteur/jackie-van-laren,216,286,6892,109,3837,286,234,8,2,32,
137,Jonas Jonasson,https://www.hebban.nl/auteur/jonas-jonasson,143,359,5986,168,1627,359,265,10,1,5,
138,Karin Fossum,https://www.hebban.nl/auteur/karin-fossum,382,119,4515,95,2202,118,250,4,1,4,
139,Annejet van der Zijl,https://www.hebban.nl/auteur/annejet-van-der-zijl,286,212,5903,122,1691,212,150,16,9,6,1
140,Martijn Lindeboom,https://www.hebban.nl/auteur/martijn-lindeboom,488,7,207,12,356,7,24,9,1,5,
141,Dave Eggers,https://www.hebban.nl/auteur/dave-eggers,181,314,3758,94,1476,314,147,12,,13,
142,Kader Abdolah,https://www.hebban.nl/auteur/kader-abdolah,193,298,4079,118,1386,298,108,4,,5,
143,Adriaan van Dis,https://www.hebban.nl/auteur/adriaan-van-dis-2,319,171,3385,98,1043,171,95,22,12,10,
144,Natascha van der Stelt,https://www.hebban.nl/auteur/natascha-van-der-stelt,488,,4,0,4,0,3,,,1,
145,Graeme Simsion,https://www.hebban.nl/auteur/graeme-simsion,106,378,7596,152,2126,378,202,6,,19,
146,Liane Moriarty,https://www.hebban.nl/auteur/liane-moriarty,227,253,6190,146,3108,253,159,2,2,19,1
147,Colleen Hoover,https://www.hebban.nl/auteur/colleen-hoover,140,334,4184,58,2952,334,237,9,,40,
148,Jeffery Deaver,https://www.hebban.nl/auteur/jeffery-deaver,291,178,3169,43,1433,178,222,5,1,4,2
149,Erin Watt,https://www.hebban.nl/auteur/erin-watt,61,400,4843,80,2113,400,117,1,,30,
150,Philippe Claudel,https://www.hebban.nl/auteur/philippe-claudel,119,339,3246,39,1457,339,201,3,,27,
151,Peter James,https://www.hebban.nl/auteur/peter-james,287,169,4640,78,2654,169,208,8,,2,1
152,Stefan Hertmans,https://www.hebban.nl/auteur/stefan-hertmans,145,303,2667,118,1384,303,93,8,8,15,
153,Peter Buwalda,https://www.hebban.nl/auteur/peter-buwalda,178,266,3701,183,1432,267,84,7,8,6,1
154,James Dashner,https://www.hebban.nl/auteur/james-dashner,214,228,2875,106,1538,218,105,7,,19,
155,Kate Mosse,https://www.hebban.nl/auteur/kate-mosse,234,207,3087,90,1956,207,114,6,1,4,
156,Leigh Bardugo,https://www.hebban.nl/auteur/leigh-bardugo,146,295,2796,142,2719,295,159,14,2,27,1
157,Cody McFadyen,https://www.hebban.nl/auteur/cody-mcfadyen,234,205,2193,33,989,205,122,2,,1,
158,Jane Austen,https://www.hebban.nl/auteur/jane-austen,104,328,2991,98,920,328,59,4,2,36,1
159,Anna Todd,https://www.hebban.nl/auteur/anna-todd,61,368,2938,126,1476,363,62,5,,5,
160,Kerstin Gier,https://www.hebban.nl/auteur/kerstin-gier,99,326,2451,35,931,326,52,,,15,
161,Håkan Östlundh,https://www.hebban.nl/auteur/hakan-ostlundh-2,395,28,1236,34,634,28,56,,,3,
162,Connie Palmen,https://www.hebban.nl/auteur/connie-palmen,177,245,3675,102,726,245,68,14,4,8,
163,Geert Mak,https://www.hebban.nl/auteur/geert-mak,175,246,3523,278,1482,246,99,8,10,4,
164,Renate Kerkhofs,https://www.hebban.nl/auteur/renate-kerkhofs,421,,11,0,5,0,1,,,1,
165,Benedict Wells,https://www.hebban.nl/auteur/benedict-wells,88,333,2694,98,1736,334,95,3,,5,
166,Paolo Giordano,https://www.hebban.nl/auteur/paolo-giordano,141,277,4437,68,1445,277,99,3,,2,
167,René Appel,https://www.hebban.nl/auteur/rene-appel,368,48,3129,74,1349,48,206,30,2,3,
168,Danielle Steel,https://www.hebban.nl/auteur/danielle-steel,117,298,4281,64,1979,299,90,3,1,3,
169,Hilde Vandermeeren,https://www.hebban.nl/auteur/hilde-vandermeeren,327,87,2284,47,1672,87,216,19,4,19,
170,R.J. Ellory,https://www.hebban.nl/auteur/roger-jon-ellory,202,212,2137,33,1267,212,234,9,,1,
171,Tonke Dragt,https://www.hebban.nl/auteur/tonke-dragt,83,330,3533,32,580,331,50,9,5,25,
172,Luc Deflo,https://www.hebban.nl/auteur/luc-deflo,232,181,4574,73,2168,181,243,8,1,6,
173,Nicholas Sparks,https://www.hebban.nl/auteur/nicholas-sparks,152,255,3675,85,2665,252,120,5,1,19,
174,Patricia Snel,https://www.hebban.nl/auteur/patricia-snel,371,34,1463,27,1073,34,126,10,2,2,
175,Karin Hazendonk,https://www.hebban.nl/auteur/karin-hazendonk,336,64,787,21,1289,62,248,4,,3,
176,Helen Vreeswijk,https://www.hebban.nl/auteur/helen-vreeswijk,189,210,3270,51,1686,210,162,19,,7,
177,Ransom Riggs,https://www.hebban.nl/auteur/ransom-riggs,153,246,2955,92,1736,247,98,3,,27,
178,Anthony Doerr,https://www.hebban.nl/auteur/anthony-doerr,60,336,2221,114,1511,336,85,10,,15,
179,Lisette Jonkman,https://www.hebban.nl/auteur/lisette-jonkman,160,235,3648,63,1745,235,152,9,2,25,
180,Stephen Fry,https://www.hebban.nl/auteur/stephen-fry,279,115,1357,238,1697,115,38,1,1,12,
181,Nathalie Pagie,https://www.hebban.nl/auteur/nathalie-pagie,300,93,3080,87,2920,93,185,14,1,4,
182,Roxane van Iperen,https://www.hebban.nl/auteur/roxane-van-iperen,107,279,2699,148,2442,280,106,14,10,11,
183,Val McDermid,https://www.hebban.nl/auteur/val-mcdermid,240,144,2606,34,1611,144,146,8,,1,
184,Melissa Skaye,https://www.hebban.nl/auteur/melissa-skaye,326,56,1100,29,1158,56,267,7,1,12,
185,Anya Niewierra,https://www.hebban.nl/auteur/anya-niewierra,180,202,2542,102,3028,202,280,18,4,17,
186,Karl Ove Knausgård,https://www.hebban.nl/auteur/karl-ove-knausgard,121,261,2079,75,960,261,77,4,2,6,
187,Bronja Hoffschlag,https://www.hebban.nl/auteur/bronja-hoffschlag,286,95,958,17,917,95,199,17,1,8,1
188,Søren Sveistrup,https://www.hebban.nl/auteur/soren-sveistrup,149,227,2692,89,1787,227,84,1,,2,
189,Umberto Eco,https://www.hebban.nl/auteur/umberto-eco,106,268,3144,46,751,268,47,5,,2,
190,Roslund & Hellström,https://www.hebban.nl/auteur/roslund-hellstrom,294,78,1551,34,955,78,111,5,2,6,
191,David Lagercrantz,https://www.hebban.nl/auteur/david-lagercrantz,203,164,4598,147,1928,164,106,19,2,8,
192,Christopher Paolini,https://www.hebban.nl/auteur/christopher-paolini,108,259,2400,78,1104,259,47,2,,13,
193,SJ Watson,https://www.hebban.nl/auteur/sj-watson-2,126,240,3278,51,1199,240,160,8,2,1,
194,Dimitri Verhulst,https://www.hebban.nl/auteur/dimitri-verhulst,154,209,3975,69,1134,208,162,16,7,9,
195,Toni Coppers,https://www.hebban.nl/auteur/toni-coppers,254,107,3455,98,1928,107,260,14,2,13,
196,Renate Dorrestein,https://www.hebban.nl/auteur/renate-dorrestein,214,146,5169,76,1279,146,168,6,5,14,
197,Pieter Aspe,https://www.hebban.nl/auteur/pieter-aspe,211,149,7421,91,2282,149,405,19,7,6,
198,Arne Dahl,https://www.hebban.nl/auteur/arne-dahl,294,65,1832,54,1621,65,98,6,,6,
199,Esther Scholten,https://www.hebban.nl/auteur/esther-scholten,342,17,47,5,50,17,29,,,1,
200,Nathalie Koenekoop,https://www.hebban.nl/auteur/nathalie-koenekoop,357,,0,0,3,0,0,,,8,
201,Ingrid Oonincx,https://www.hebban.nl/auteur/ingrid-oonincx,320,29,999,42,929,31,157,68,6,12,
202,Virginia Andrews,https://www.hebban.nl/auteur/virginia-andrews,122,224,6724,44,1316,224,77,,,5,1
203,Terry Pratchett,https://www.hebban.nl/auteur/terry-pratchett,104,241,2717,62,1031,241,49,14,2,24,
204,David Hewson,https://www.hebban.nl/auteur/david-hewson,229,112,2528,61,1920,112,149,7,,4,
205,Unni Lindell,https://www.hebban.nl/auteur/unni-lindell,251,88,2553,52,1268,88,126,1,,,
206,Charles den Tex,https://www.hebban.nl/auteur/charles-den-tex-4,261,77,2294,65,1267,76,179,34,10,11,
207,Robert Harris,https://www.hebban.nl/auteur/robert-harris,127,209,2662,100,1444,209,152,11,3,6,
208,Alex Boogers,https://www.hebban.nl/auteur/alex-boogers,134,200,1795,74,999,200,110,14,3,7,
209,Marja Boomstra,https://www.hebban.nl/auteur/marja-boomstra,192,142,452,26,665,142,232,,,,
210,Marloes Otten,https://www.hebban.nl/auteur/marloes-otten,329,3,18,0,21,3,3,,,,
211,Richelle Mead,https://www.hebban.nl/auteur/richelle-mead,99,229,2735,43,1237,225,54,1,,12,
212,Jenny Colgan,https://www.hebban.nl/auteur/jenny-colgan,92,235,7110,197,5057,235,222,,,44,
213,J. Bernlef,https://www.hebban.nl/auteur/j-bernlef,70,257,4717,45,789,257,97,1,,7,
214,Jenna Blum,https://www.hebban.nl/auteur/jenna-blum,214,111,2614,50,1293,112,106,2,,17,
215,Yvonne Franssen,https://www.hebban.nl/auteur/yvonne-franssen,291,34,575,14,653,34,144,2,2,92,
216,Kluun,https://www.hebban.nl/auteur/kluun,171,152,5567,60,660,152,88,11,9,11,
217,Erin Hunter,https://www.hebban.nl/auteur/erin-hunter,54,266,1845,76,1846,266,89,,,9,1
218,David Mitchell,https://www.hebban.nl/auteur/david-mitchell,70,250,1592,68,1030,250,101,9,,6,
219,Margaret Atwood,https://www.hebban.nl/auteur/margaret-atwood,90,228,3184,166,2331,216,104,2,9,21,1
220,Natasza Tardio,https://www.hebban.nl/auteur/natasza-tardio,282,35,458,11,275,35,67,24,,1,
221,Jandy Nelson,https://www.hebban.nl/auteur/jandy-nelson,44,272,1212,66,696,272,63,7,,18,
222,Olga Hoekstra,https://www.hebban.nl/auteur/o-hoekstra,287,29,476,8,244,29,81,8,,10,
223,Philip Kerr,https://www.hebban.nl/auteur/philip-kerr,186,129,2288,45,1293,129,110,6,1,5,
224,Jodi Picoult,https://www.hebban.nl/auteur/jodi-picoult,142,169,2169,42,1441,169,123,1,,3,1
225,Patrick Süskind,https://www.hebban.nl/auteur/patrick-suskind,29,282,3032,20,266,282,42,1,1,1,
226,Abbi Glines,https://www.hebban.nl/auteur/abbi-glines,90,220,5137,41,1819,220,64,1,,22,
227,Donna Leon,https://www.hebban.nl/auteur/donna-leon,259,50,1811,24,763,50,100,5,,1,
228,Christophe Schollaert,https://www.hebban.nl/auteur/christophe-schollaert,306,3,3,0,4,3,0,,,,
229,Jonathan  Safran Foer,https://www.hebban.nl/auteur/jonathan-safran-foer,53,253,2829,66,797,253,59,2,,1,
230,Liane Baltus,https://www.hebban.nl/auteur/liane-baltus,123,183,88,1,135,183,30,,,,
231,Jeannette Jansen-Kim,https://www.hebban.nl/auteur/jeannette-jansen-kim,302,3,16,1,16,3,8,,,,
232,Delia Owens,https://www.hebban.nl/auteur/delia-owens,18,286,2096,109,2379,286,153,5,2,9,
233,Mirjam Mous,https://www.hebban.nl/auteur/mirjam-mous,114,187,2324,62,1095,187,128,21,1,16,
234,Bernard Minier,https://www.hebban.nl/auteur/bernard-minier,158,142,2087,55,1650,142,116,2,,5,
235,Ildefonso Falcones,https://www.hebban.nl/auteur/ildefonso-falcones,58,241,1875,115,1238,241,65,1,,5,
236,Kathryn Stockett,https://www.hebban.nl/auteur/kathryn-stockett,16,283,2742,18,471,283,55,,,3,
237,Lauren Kate,https://www.hebban.nl/auteur/lauren-kate,100,198,2403,51,1371,198,57,,,9,
238,Wendy Brokers,https://www.hebban.nl/auteur/wendy-brokers,145,150,1541,43,1588,150,146,2,2,38,
239,Simon Beckett,https://www.hebban.nl/auteur/simon-beckett,181,113,2085,33,734,113,137,1,,2,
240,George Orwell,https://www.hebban.nl/auteur/george-orwell,30,259,3293,77,763,259,34,4,3,8,1
241,Marianne en Theo Hoogstraaten,https://www.hebban.nl/auteur/m-hoogstraaten,243,44,1764,37,863,44,176,3,2,1,
242,Sharon (S.J.) Bolton,https://www.hebban.nl/auteur/sj-bolton,193,94,2564,49,1863,94,164,3,1,2,
243,Jet van Vuuren,https://www.hebban.nl/auteur/jet-van-vuuren,223,63,4572,105,2015,63,198,3,,2,
244,Jan Siebelink,https://www.hebban.nl/auteur/jan-siebelink,74,208,4446,88,1194,209,112,10,5,8,
245,Jeff Kinney,https://www.hebban.nl/auteur/jeff-kinney,22,258,1111,41,312,258,17,10,1,3,
246,Joelle Charbonneau,https://www.hebban.nl/auteur/joelle-charbonneau,89,191,2083,44,1108,191,137,6,1,8,
